Wall time,Step,Value
1692093281.25827,127,0.4400952160358429
1692094428.152846,255,0.4252215325832367
1692095447.7334747,383,0.42095616459846497
1692096420.3707237,511,0.41783255338668823
1692097382.9855788,639,0.41631993651390076
1692098358.7150974,767,0.4139310121536255
1692099323.7863169,895,0.41090649366378784
1692100292.7346468,1023,0.4089672565460205
1692101247.497535,1151,0.4058173596858978
1692102214.0123625,1279,0.4059068262577057
1692103236.1721957,1407,0.4022837281227112
1692104262.6771512,1535,0.401129812002182
1692105235.1959631,1663,0.3983851373195648
1692106200.0654337,1791,0.3963316082954407
1692107183.2692304,1919,0.3925044536590576
1692108167.6853695,2047,0.3894086182117462
