Wall time,Step,Value
1692126851.4052622,127,0.38090115785598755
1692127721.1321692,255,0.3648074269294739
1692128579.6427915,383,0.36126548051834106
1692129441.8636947,511,0.35844695568084717
1692130323.9261432,639,0.3565865457057953
1692131199.1938813,767,0.35497334599494934
1692132077.42024,895,0.3542456030845642
1692132970.361194,1023,0.35185930132865906
1692133847.405048,1151,0.35012558102607727
1692134706.3015985,1279,0.34833499789237976
1692135569.8329327,1407,0.3451468348503113
1692136426.841658,1535,0.34342193603515625
1692137295.4658391,1663,0.3417564034461975
1692138171.0589633,1791,0.33878806233406067
1692139050.0405548,1919,0.33495986461639404
1692139921.5623415,2047,0.33172446489334106
