Wall time,Step,Value
1692093286.0917947,127,0.44039639830589294
1692094489.6311963,255,0.4238163232803345
1692095560.974117,383,0.42053481936454773
1692096552.8162835,511,0.4208723306655884
1692097533.039763,639,0.4156219959259033
1692098541.7052324,767,0.4145747423171997
1692099519.0912297,895,0.4130609929561615
1692100503.5853698,1023,0.4107553958892822
1692101471.0247376,1151,0.4087144732475281
1692102472.9178345,1279,0.4075263440608978
1692103540.3191369,1407,0.4045673608779907
1692104570.2033403,1535,0.4021243155002594
1692105569.3431294,1663,0.40010911226272583
1692106538.1641312,1791,0.3970884084701538
1692107549.7377477,1919,0.39429664611816406
1692108552.2054462,2047,0.39204028248786926
