Wall time,Step,Value
1692126002.6998398,0,0.4888455867767334
1692126021.592595,3,0.48381975293159485
1692126027.8156424,4,0.4702514708042145
1692126066.2689967,10,0.40583497285842896
1692126072.5704353,11,0.4482347071170807
1692126091.95422,14,0.37659844756126404
1692126098.3044186,15,0.39333412051200867
1692126117.5999033,18,0.4066786468029022
1692126124.1269844,19,0.4228052496910095
1692126130.4876163,20,0.35990482568740845
1692126143.4275117,22,0.4174503684043884
1692126149.9019601,23,0.42639487981796265
1692126169.3330102,26,0.3920537829399109
1692126175.6277866,27,0.37318119406700134
1692126214.1521053,33,0.3826123774051666
1692126233.5869792,36,0.36655765771865845
1692126240.1402829,37,0.3520839214324951
1692126246.4673617,38,0.3731195628643036
1692126252.9715807,39,0.40301084518432617
1692126259.3139837,40,0.37162768840789795
1692126304.4854848,47,0.41286182403564453
1692126311.0021875,48,0.35005345940589905
1692126317.402407,49,0.37143176794052124
1692126330.350381,51,0.38467496633529663
1692126336.8274765,52,0.38887131214141846
1692126349.707456,54,0.38679856061935425
1692126369.085642,57,0.3688744008541107
1692126388.4245253,60,0.3536352515220642
1692126394.782019,61,0.397152841091156
1692126401.334787,62,0.37451624870300293
1692126407.661363,63,0.38211923837661743
1692126420.5679584,65,0.3723312318325043
1692126427.0929627,66,0.36258432269096375
1692126433.6262877,67,0.39233648777008057
1692126439.9602215,68,0.3548539876937866
1692126452.854752,70,0.3633413314819336
1692126459.4104197,71,0.35809576511383057
1692126498.0922318,77,0.3646267354488373
1692126510.962357,79,0.37750548124313354
1692126517.4830096,80,0.36479198932647705
1692126530.445843,82,0.35671135783195496
1692126550.079386,85,0.3471294045448303
1692126576.2570255,89,0.383533775806427
1692126582.7408245,90,0.355974942445755
1692126615.4256155,95,0.3531080484390259
1692126641.7045412,99,0.38555094599723816
1692126648.352766,100,0.38585543632507324
1692126668.1433208,103,0.36693075299263
1692126687.744713,106,0.3591257929801941
1692126694.4195309,107,0.35565078258514404
1692126707.5592797,109,0.36997899413108826
1692126740.6617625,114,0.3690568208694458
1692126753.8819664,116,0.38577961921691895
1692126786.7837667,121,0.36338961124420166
1692126813.3245802,125,0.3704903721809387
1692126819.8630433,126,0.35966894030570984
1692126865.6078014,128,0.36943161487579346
1692126877.9380744,130,0.39097076654434204
1692126884.3466618,131,0.36472105979919434
1692126890.5889776,132,0.3724358081817627
1692126916.4981604,136,0.4009089171886444
1692126923.0714622,137,0.36810076236724854
1692126962.490568,143,0.36375099420547485
1692126968.9525797,144,0.35322868824005127
1692126982.038324,146,0.34291765093803406
1692126988.7169788,147,0.3686365783214569
