Wall time,Step,Value
1692092351.0130672,0,0.5312691926956177
1692092372.7296169,3,0.49077120423316956
1692092379.7896469,4,0.48861780762672424
1692092422.8363194,10,0.46386125683784485
1692092429.9985468,11,0.4846719801425934
1692092450.9624796,14,0.4458163380622864
1692092457.9287913,15,0.4426710307598114
1692092479.0109062,18,0.4348284602165222
1692092486.1189258,19,0.4606251120567322
1692092493.1789868,20,0.41777503490448
1692092507.5226188,22,0.4768064022064209
1692092514.8555806,23,0.4541627764701843
1692092537.1293766,26,0.4150623381137848
1692092544.4022448,27,0.4468498229980469
1692092587.7152405,33,0.43635815382003784
1692092609.1884322,36,0.43532171845436096
1692092616.361334,37,0.42928346991539
1692092623.3341942,38,0.44505006074905396
1692092630.3797948,39,0.4322888255119324
1692092637.3057497,40,0.4320823550224304
1692092686.1396399,47,0.4305432438850403
1692092693.1425698,48,0.4448431730270386
1692092699.9550328,49,0.42032742500305176
1692092713.8583333,51,0.4259140193462372
1692092720.8054245,52,0.41845011711120605
1692092734.5293381,54,0.43263667821884155
1692092755.1627276,57,0.45863279700279236
1692092775.686052,60,0.44262513518333435
1692092782.5909436,61,0.45496562123298645
1692092789.4840937,62,0.4494611918926239
1692092796.2769625,63,0.4403524100780487
1692092810.096276,65,0.4385186433792114
1692092817.1481335,66,0.4186665117740631
1692092824.0172927,67,0.4371921420097351
1692092831.0421867,68,0.46625256538391113
1692092845.7051246,70,0.42334216833114624
1692092852.8711002,71,0.4345552623271942
1692092895.7198308,77,0.4148743152618408
1692092909.7367342,79,0.4335542917251587
1692092916.6980803,80,0.42406490445137024
1692092931.4659464,82,0.43225398659706116
1692092952.9896162,85,0.4342273771762848
1692092981.8264382,89,0.43390196561813354
1692092988.693541,90,0.44333866238594055
1692093023.8443835,95,0.4473763108253479
1692093053.040138,99,0.45365822315216064
1692093060.4039114,100,0.43459847569465637
1692093081.9577777,103,0.43951067328453064
1692093102.6916306,106,0.4260824918746948
1692093109.7452774,107,0.41799724102020264
1692093123.7397387,109,0.40900713205337524
1692093158.864425,114,0.4496559202671051
1692093172.753208,116,0.4130672216415405
1692093207.84525,121,0.44042882323265076
1692093236.0238917,125,0.4323902726173401
1692093243.074253,126,0.42894771695137024
1692093557.573088,128,0.43330252170562744
1692093570.6831162,130,0.4197489023208618
1692093577.1930044,131,0.44263333082199097
1692093584.037081,132,0.421773761510849
1692093611.6315799,136,0.44344744086265564
1692093618.550303,137,0.43502041697502136
1692093660.7507713,143,0.4281544089317322
1692093667.9548535,144,0.43562403321266174
1692093682.1230474,146,0.433417946100235
1692093689.2242234,147,0.43213993310928345
1692093710.4967566,150,0.43962568044662476
1692093760.5358932,157,0.4360062777996063
1692093774.8072445,159,0.4070310592651367
1692093782.078121,160,0.41465240716934204
1692093796.3938456,162,0.4258091449737549
1692093810.2546978,164,0.4285045862197876
1692093851.8098903,170,0.4316825270652771
1692093858.8014367,171,0.4205237925052643
1692093865.6113803,172,0.4188319146633148
1692093886.6539664,175,0.41145938634872437
1692093893.7234023,176,0.42742279171943665
1692093900.6463926,177,0.4173254668712616
1692093907.7052217,178,0.4376974105834961
1692093921.7626867,180,0.43165892362594604
1692093928.7094061,181,0.42592406272888184
1692093950.0612547,184,0.4138702154159546
1692093957.1595461,185,0.4214511513710022
1692093964.1731086,186,0.41367608308792114
1692093985.4910579,189,0.4304657280445099
1692093992.4700642,190,0.42681044340133667
1692093999.5184166,191,0.4091954529285431
1692094006.6432548,192,0.41479307413101196
1692094027.930438,195,0.4337218999862671
1692094055.9466197,199,0.41242775321006775
1692094062.9390767,200,0.3927803337574005
1692094076.9348938,202,0.4467998445034027
1692094084.1002834,203,0.40533119440078735
1692094091.0710602,204,0.418224573135376
1692094098.195381,205,0.4339716136455536
1692094112.2665067,207,0.4308491349220276
1692094126.5985334,209,0.4332117438316345
1692094141.0761268,211,0.4044603109359741
1692094155.2330272,213,0.45174118876457214
1692094169.3600845,215,0.43380168080329895
1692094176.5791955,216,0.40898633003234863
1692094190.6776388,218,0.41006574034690857
1692094197.7098017,219,0.43466174602508545
1692094204.6466076,220,0.40603721141815186
1692094211.68602,221,0.41144102811813354
1692094218.6112695,222,0.42486637830734253
1692094232.7793558,224,0.41653579473495483
1692094240.0605478,225,0.4311287999153137
1692094268.5609858,229,0.42577147483825684
1692094310.6572423,235,0.4439484477043152
1692094324.872186,237,0.41178247332572937
1692094331.7838209,238,0.43204885721206665
1692094338.7928815,239,0.4201027452945709
1692094352.7378764,241,0.4062681198120117
1692094359.6452997,242,0.42572712898254395
1692094373.6226234,244,0.4053976833820343
1692094380.7028654,245,0.4045411944389343
1692094387.8045728,246,0.4134669005870819
1692094394.7367294,247,0.4119330644607544
1692094433.0911214,252,0.4297068119049072
1692094444.7530265,253,0.41604042053222656
1692094451.9333072,254,0.4087657332420349
1692094630.7544096,257,0.40421178936958313
1692094637.5168078,258,0.4071432948112488
1692094644.2075195,259,0.43484577536582947
1692094651.094945,260,0.4254116415977478
1692094664.9433901,262,0.4253605902194977
1692094720.651988,270,0.421111136674881
1692094727.9113054,271,0.42970818281173706
1692094749.408249,274,0.41429245471954346
1692094763.6283207,276,0.4307340383529663
1692094777.8486588,278,0.419037789106369
1692094792.1108398,280,0.3972967565059662
1692094806.4437644,282,0.41641348600387573
1692094813.4372292,283,0.42727184295654297
1692094827.7538402,285,0.4332919716835022
1692094841.8326461,287,0.430682510137558
1692094848.7851233,288,0.42064061760902405
1692094862.9133093,290,0.41024842858314514
1692094898.3135726,295,0.43564799427986145
1692094905.7609396,296,0.43104591965675354
1692094912.8129904,297,0.40061408281326294
1692094920.1364381,298,0.3883519768714905
1692094976.979237,306,0.4102219045162201
1692094991.1720374,308,0.4245470464229584
1692094998.3948228,309,0.4300330579280853
1692095019.7947824,312,0.4265528619289398
1692095026.9886742,313,0.4244536757469177
1692095048.3111928,316,0.41700926423072815
1692095062.5499306,318,0.39984339475631714
1692095069.558304,319,0.43093574047088623
1692095091.0612001,322,0.4100533425807953
1692095105.143457,324,0.4369696378707886
1692095140.4131212,329,0.40455740690231323
1692095147.3837435,330,0.4138144850730896
1692095154.6052268,331,0.4088626503944397
1692095161.7613153,332,0.44145286083221436
1692095198.0884182,337,0.4190444052219391
1692095205.3868256,338,0.4323621094226837
1692095219.7803957,340,0.43247750401496887
1692095241.1006694,343,0.4199073910713196
1692095248.0843637,344,0.41147664189338684
1692095255.0953856,345,0.40490809082984924
1692095261.9972618,346,0.43137842416763306
1692095276.1118832,348,0.42818063497543335
1692095290.454488,350,0.43621009588241577
1692095305.1344671,352,0.44528770446777344
1692095312.2829201,353,0.43519294261932373
1692095319.5808637,354,0.4231973886489868
1692095348.2513888,358,0.4120180606842041
1692095362.1912544,360,0.42303889989852905
1692095376.6706877,362,0.4277840256690979
1692095383.7180333,363,0.4104881286621094
1692095390.7366996,364,0.41662687063217163
1692095397.823693,365,0.4083205461502075
1692095404.8827972,366,0.40251877903938293
1692095411.9827573,367,0.4159434735774994
1692095418.8948658,368,0.4089369773864746
1692095468.6602309,374,0.4368453919887543
1692095491.2099333,377,0.4509575068950653
1692095498.1935391,378,0.409477174282074
1692095629.3654392,386,0.42604348063468933
1692095657.2008767,390,0.42747849225997925
1692095664.3013418,391,0.41522878408432007
1692095671.3057551,392,0.41706985235214233
1692095678.437705,393,0.40658506751060486
1692095685.4292781,394,0.42676275968551636
1692095692.505385,395,0.42723920941352844
1692095699.527983,396,0.4340665936470032
1692095706.688477,397,0.42670580744743347
1692095713.6817012,398,0.453418105840683
1692095720.5750396,399,0.43027263879776
