Wall time,Step,Value
1692146204.284895,127,0.4422893226146698
1692147464.0522764,255,0.42722901701927185
1692148729.5795898,383,0.4231475591659546
1692149984.4907136,511,0.4199202060699463
1692151249.0865397,639,0.4167223572731018
1692152553.6556485,767,0.4140070080757141
1692153896.3269308,895,0.4105308949947357
1692155154.2935119,1023,0.40694910287857056
1692156421.8225348,1151,0.40509936213493347
1692157684.0608544,1279,0.4021722674369812
1692158947.148366,1407,0.3997054398059845
1692160221.8999293,1535,0.39642533659935
1692161490.2583444,1663,0.3931156098842621
1692162785.5122237,1791,0.38903772830963135
1692164060.166738,1919,0.385590136051178
1692165270.813312,2047,0.3829788267612457
