Wall time,Step,Value
1692188609.6782076,127,0.3825342655181885
1692189747.5220628,255,0.3626647889614105
1692190857.2871778,383,0.35864973068237305
1692191972.4214149,511,0.35729357600212097
1692193088.6977565,639,0.3543398082256317
1692194202.1975336,767,0.3530522882938385
1692195317.341404,895,0.3499840497970581
1692196444.781911,1023,0.34733855724334717
1692197563.7719362,1151,0.34418371319770813
1692198681.416878,1279,0.34256601333618164
1692199801.415488,1407,0.33923912048339844
1692200947.4513156,1535,0.33715975284576416
1692202096.0035555,1663,0.33393701910972595
1692203248.4610949,1791,0.33118385076522827
1692204402.6398325,1919,0.327675998210907
1692205558.283135,2047,0.3236809968948364
