Wall time,Step,Value
1692188572.709622,127,0.37586402893066406
1692189674.486343,255,0.3597809374332428
1692190772.84489,383,0.357485294342041
1692191875.530004,511,0.3560968339443207
1692192980.2195191,639,0.35477206110954285
1692194106.4110043,767,0.3527079224586487
1692195230.5061772,895,0.3513376712799072
1692196375.3921638,1023,0.34888607263565063
1692197506.476162,1151,0.34731417894363403
1692198626.3420637,1279,0.34728381037712097
1692199765.9150522,1407,0.3451790511608124
1692200915.3740888,1535,0.34217607975006104
1692202054.7738862,1663,0.3389495313167572
1692203185.5410411,1791,0.3364298641681671
1692204313.9461894,1919,0.33254292607307434
1692205451.3630404,2047,0.328641802072525
