Wall time,Step,Value
1692166773.547477,127,0.38444745540618896
1692168167.4772012,255,0.365019291639328
1692169442.966801,383,0.3620975911617279
1692170692.1285007,511,0.3601115047931671
1692171951.1169949,639,0.35837700963020325
1692173205.0182707,767,0.35594213008880615
1692174443.4747534,895,0.3541768491268158
1692175700.6737437,1023,0.35277554392814636
1692176944.2683582,1151,0.350849986076355
1692178199.9617841,1279,0.34810489416122437
1692179458.7890754,1407,0.3449646234512329
1692180789.1272774,1535,0.342181921005249
1692182078.5034325,1663,0.3390137255191803
1692183389.9753067,1791,0.33600059151649475
1692184707.2966456,1919,0.33270424604415894
1692185950.207589,2047,0.3290485143661499
