Wall time,Step,Value
1692146128.3502402,127,0.4370386004447937
1692147377.5827324,255,0.4226745665073395
1692148614.485976,383,0.4194186329841614
1692149834.3189757,511,0.4143891930580139
1692151061.257174,639,0.4126514792442322
1692152274.2757478,767,0.40987086296081543
1692153557.9006495,895,0.4073519706726074
1692154907.0162709,1023,0.4039008617401123
1692156142.3366957,1151,0.4016915261745453
1692157357.2266345,1279,0.39908280968666077
1692158570.7946641,1407,0.3961723744869232
1692159790.9583113,1535,0.3931809961795807
1692161021.869677,1663,0.3901980221271515
1692162257.1524332,1791,0.388261079788208
1692163510.9006727,1919,0.3861161470413208
1692164769.6550398,2047,0.3833024203777313
