Wall time,Step,Value
1692144965.540561,0,0.5246983170509338
1692144991.0397406,3,0.48967233300209045
1692144999.6556714,4,0.48559004068374634
1692145052.396276,10,0.4542403221130371
1692145061.1003947,11,0.4846979081630707
1692145087.5271022,14,0.4473060369491577
1692145096.3858016,15,0.4244473874568939
1692145122.6612933,18,0.428226113319397
1692145131.4841413,19,0.4538508951663971
1692145140.3466427,20,0.41587820649147034
1692145157.9302342,22,0.4510286748409271
1692145166.7564237,23,0.4472026526927948
1692145193.8767738,26,0.42472776770591736
1692145202.7241478,27,0.4297235906124115
1692145256.2740564,33,0.45062339305877686
1692145282.961256,36,0.4290179908275604
1692145291.684456,37,0.41647934913635254
1692145300.4690828,38,0.4390198886394501
1692145309.1095593,39,0.44521334767341614
1692145317.99749,40,0.44229641556739807
1692145379.9390843,47,0.4434429407119751
1692145388.8480396,48,0.4432259202003479
1692145397.9361453,49,0.40943774580955505
1692145415.7745123,51,0.4538413882255554
1692145424.7898715,52,0.4498623311519623
1692145442.5750277,54,0.4108436703681946
1692145469.122761,57,0.4240594804286957
1692145495.6346617,60,0.4623776078224182
1692145504.4973536,61,0.4395347833633423
1692145513.1444342,62,0.43854236602783203
1692145521.9462905,63,0.4622531533241272
1692145539.3321147,65,0.4262845516204834
1692145548.0803847,66,0.44013190269470215
1692145556.7946775,67,0.4091930091381073
1692145565.6815448,68,0.4320144057273865
1692145583.39845,70,0.44627729058265686
1692145592.1598864,71,0.4190886318683624
1692145645.7855234,77,0.4263853132724762
1692145663.6500645,79,0.43466848134994507
1692145672.378519,80,0.43255484104156494
1692145690.0954902,82,0.41888904571533203
1692145716.6478589,85,0.45100605487823486
1692145752.922724,89,0.43842169642448425
1692145761.9735632,90,0.42943304777145386
1692145807.5465438,95,0.424221396446228
1692145844.4079325,99,0.42455142736434937
1692145853.6232555,100,0.4259773790836334
1692145881.2246115,103,0.42844074964523315
1692145908.8558881,106,0.43453890085220337
1692145918.0465958,107,0.4076952040195465
1692145936.6163847,109,0.43949878215789795
1692145982.0162401,114,0.43460237979888916
1692146000.0776699,116,0.40649861097335815
1692146045.2430444,121,0.4083671569824219
1692146081.1763134,125,0.41549476981163025
1692146090.6204197,126,0.42661696672439575
1692146181.7852848,128,0.41539716720581055
1692146200.1108105,130,0.4273422360420227
1692146211.7840142,131,0.4229336977005005
